latitude,longitude,name,Vegetation encroachment
22.51641389,72.81826111,5C/0,low
22.5161,72.83245833,6/0,low
22.51538056,72.85875278,8B/0,low
22.51467222,72.89591111,17/0,low
22.51292222,72.89788333,18/0,low
22.51389722,72.95246389,26A/0,low
22.51248056,72.95423889,26B/0,low
22.50348889,73.02542222,33B/0,low
22.50594722,73.02908333,34/0,low
22.50752222,73.03081667,34A/0,low
22.54075,73.15239167,44A/0,low
22.54027778,73.15713333,44B/0,low
22.53912778,73.16083056,44C/0,low
22.57593333,73.534575,63/0,low
22.57969167,73.55038056,64/0,low
22.57909444,73.55453611,64A/0,low
22.580375,73.55758889,65/0,low
22.58049444,73.56152778,65A/0,low
22.58272222,73.56872778,65B/0,low
22.58173889,73.64885833,70/0,low
22.57816667,73.65985278,70A/0,low
22.65550833,74.14193611,110/0,low
22.656225,74.14555278,110/1,low
22.65631111,74.14833889,110/2,low
22.65713056,74.15243333,111/0,low
22.65767778,74.15354444,111/1,low
22.65863611,74.15715833,112/0,low
22.65938333,74.16105,113/0,low
