latitude,longitude,name
22.5720305556,73.4993277778,61A/0
22.5731555556,73.5162472222,62/0
22.5759333333,73.534575,63/0
22.5796916667,73.5503805556,64/0
22.5790944444,73.5545361111,64A/0
22.580375,73.5575888889,65/0
22.5804944444,73.5615277778,65A/0
22.5827222222,73.5687277778,65B/0
22.5870694444,73.5864194444,65C/0
22.5866277778,73.589975,66/0
22.5824027778,73.6011388889,66A/0
22.5836416667,73.6213583333,67/0
22.5793722222,73.6312333333,68/0
22.5781916667,73.6385027778,69/0
22.5813361111,73.6454777778,69A/0
22.5817388889,73.6488583333,70/0
22.5781666667,73.6598527778,70A/0
22.5773694444,73.6662916667,70B/0
22.5727638889,73.6772305556,71/0
22.5722388889,73.6811472222,71A/0
22.5720083333,73.6854305556,71B/0
22.5722805556,73.6894638889,71C/0
22.5725944444,73.6936722222,72/0
22.568475,73.6992361111,72A/0
22.5669166667,73.7037027778,73/0
22.56761666670001,73.7098833333,73A/0
22.5680055556,73.7139055556,74/0
22.5701277778,73.7218694444,74/2
22.5713472222,73.7261722222,74A/0
22.5724583333,73.7296638889,75/0
22.5719972222,73.7357305556,75A/0
22.5720388889,73.7437222222,75B/0
22.5725083333,73.7473111111,75C/0
22.5721194444,73.752175,75C/1
22.5716805556,73.7580888889,76/0
22.5734055556,73.7613694444,76A/0
22.5721277778,73.7658166667,76B/0
22.5714333333,73.7703,76B/1
22.5708027778,73.7745833333,76C/0
22.5697527778,73.7781666667,76D/0
22.5715305556,73.8038916667,76E/0
22.57375,73.8084611111,77/0
22.5788666667,73.81275,77A/0
22.5827638889,73.81555,77B/0
22.5907722222,73.8224777778,78/0
22.5966916667,73.8362388889,79/0
22.5963694444,73.8403972222,79A/0
22.5966944444,73.8469666667,79B/0
22.5960055556,73.8531305556,79B/2
22.5956305556,73.8570416667,80/0
22.59738333330001,73.8607472222,80A/0
22.6038472222,73.8697833333,81/0
22.6050638889,73.8724027778,82/0
22.6067194444,73.87365,83/0
22.6079472222,73.8770416667,83A/0
22.6072694444,73.881,84/0
22.60803888890001,73.8926777778,85/0
22.6104361111,73.9027083333,85A/0
22.6116916667,73.9066222222,86/0
22.61565277780001,73.911325,86A/0
22.6180361111,73.9229638889,87A/0
22.6209027778,73.932325,88/0
22.6210638889,73.9395722222,89/0
22.6140222222,73.9517916667,90/0
22.6144833333,73.9630638889,90A/0
22.6150861111,73.9696527778,90B/0
22.6149,73.9732,91/0
22.6189916667,73.9791805556,92/0
22.6272166667,73.9871916667,93/0
22.626925,73.9906888889,93/1
22.6265638889,73.9946055556,94/0
22.62628055560001,73.9982361111,94A/0
22.6244388889,74.0007083333,94B/0
22.6233861111,74.0037694444,95/0
22.6226777778,74.0094444444,95A/0
22.6224416667,74.0176666667,96/0
22.6242944444,74.0204527778,96A/0
22.6265277778,74.0301527778,97/0
22.61805,74.0524944444,98/0
22.6216277778,74.0634694444,AP99/0
22.6262166667,74.0683166667,100/0
22.6261972222,74.0717833333,101/0
22.6280833333,74.0750166667,102/0
22.64255,74.0815111111,103/0
22.6509222222,74.0877666667,104/0
22.6544111111,74.09865,105/0
22.6551416667,74.106525,106/0
22.6554361111,74.1096138889,106A/0
