Longitude,Latitude
"[74.88786146537932,","22.702295382075107],"
"[74.88912235283804,","22.704193610802896],"
"[74.88914422954934,","22.704223233502496],"
"[74.88916894253002,","22.704250534847066],"
"[74.88919624697988,","22.70427524439678],"
"[74.88922587242833,","22.70429711738544],"
"[74.88925752541361,","22.70431593714506],"
"[74.88929089238968,","22.704331517252132],"
"[74.88932564283222,","22.704343703374278],"
"[74.89704786503222,","22.706627036674277],"
"[74.89708441685958,","22.706635852206773],"
"[74.8971216746421,","22.706640912576287],"
"[74.89715925362314,","22.706642165525004],"
"[74.89719676572915,","22.706639598113867],"
"[74.89723382357715,","22.70663323685622],"
"[74.89727004447523,","22.706623147444002],"
"[74.89730505437458,","22.70660943406935],"
"[74.89733849173223,","22.706592238348623],"
"[74.9135406553032,","22.6971896893829],"
"[74.91499050635825,","22.697471534305564],"
"[74.91502592483783,","22.697476656428456],"
"[74.91506167248627,","22.697478332874116],"
"[74.91509741488292,","22.69747654795933],"
"[74.91513281765627,","22.69747131838205],"
"[74.91516754961198,","22.697462693065166],"
"[74.91520128583126,","22.697450752698863],"
"[74.91523371071047,","22.697435608985728],"
"[74.91526452091358,","22.69741740359579],"
"[74.91529342820996,","22.69739630684118],"
"[74.91818231710997,","22.69506575134118],"
"[74.91820813777218,","22.695042853054552],"
"[74.91823171262045,","22.695017648597474],"
"[74.9182528365522,","22.694990357250216],"
"[74.91827132578797,","22.69496121644912],"
"[74.9182870194703,","22.694930479720888],"
"[74.91829978106323,","22.694898414476878],"
"[74.91830949954014,","22.694865299686615],"
"[74.92076750772893,","22.684768935820333],"
"[74.92191111856765,","22.68436867198818],"
